polarity,processed
joy,girl guy gausah nyari pacar disini ekspetasi lu ga bakal kesampaian anjir wkwkwkwkwk
sad,tidur gak ya bimbang banget sih
sad,tolong kasi cara buat rambut ga rontok lagi dong cape ddah di pendekin masi aja rontok
netral,ada yg tau gak knp signal wifi down cuma ada signal batang doang padah router sama perangkat masih ruangan
sad,bu banget ini seriu bantuin dong jangan ditipu mulu
anger,kasian bapak nungguin ibu yang entah ada di mana sekarang god
netral,slebew slep bebew aw aw
sad,untung slank ga nyanyi nangi gue malem ini lol
anger,anjir join gc line baru blg hai tr dikick sama cew sana juga heh mba bgst anda
joy,inget dulu jdnya pertama kali meet up sm stranger ramean si karna ada grupnya membernya dr secret wkwk
sad,fc yok gua gabut m
anger,mungkin sejak kejadian ini aku akan membenc hujan
confused,jadi gini gae tmen gua cew suka nabok pantat gue teru suka gua apakah itu pelecehan seksual
joy,mabar yuk ah mobel
sad,dia gasuka gare padah gorengan gare enak
netral,besok ada yg otw ke malang naik kereta kah
sad,vc yuk yg gabut nih
sad,ketika semua telah berakhir
sad,percayalah nuga diata kasur itu gabakalan ampuh
netral,kalo ali tebel tapi dompet tipi apakah masih jadi idaman kalian semua wahai wanita
sad,orang itu cara menyikapi kesedihannya beda beda gak perlu gw ga ngerti sama orang yg samp stop
anger,capek nyet nungguin balesan lu
joy,f yg main ff mabar kuy gue m
sad,mabuq pabji hedeh
joy,vc yuk random talk tapi m
sad,kenapa aku mimpi lesbian sama temen sebangku
netral,bandung ada f bandung
sad,apa gua terlalu baik makanya doi suka selingkhuhh
joy,chat yuk sampai ngantuk f here
netral,tell gabisa di io ya
joy,saatnya makan larut
anger,gua gedek bgt dah kalo ada org ngomong yg skrg nggak secakep gue
sad,i alway love rain becaus when rain start pour the cold that touch my skin feel like an embrac for my lone soul
love,aku kan selalu ada di dekatmu kau haru tahu betapa aku mencintaimu
sad,keknya lagi chatan ama yang lain heheh
anger,gatau kenapa pengen nikah padah gue sadar kalo menikah bukan solusi arghhhhhhh
sad,you get to say no you get to be an introvert you get to let other save themselv and come to their own conclus
anger,kenapa ya sesibuk sibuknya gue pasti masih nyempetin chat tp kenapa gue gaada feedback positif jg si jir
sad,how to uninstal my life
sad,ga tau kenapa tiba sedih
sad,pengen nikah sama duda ih
sad,dua tiga gudeg yu djum i still see your shadow in my room
netral,nulisnya nama judul dulu apa nama penyanyi dulu
sad,ada yg mau beli voucher tiket book hari hotel di app oyo max dijual bisa dihotel mana aja kok daripada ntar hangu gegara temen gue gabisa
joy,ada yang mau jadi temen chat topiknya apa yang menarik di hari ini besok dst slowr is okay
sad,cewek itu haru dicari apa nanti deket sendiri si
sad,setiap nanya umur gue auto ec
anger,ya gak ada manusia yang bodoh sih yang ada cuma manusia goblók kayak lo gitu contohnya
sad,pengen putu tapi gapunya pacar suka gitu da a mah wkwk
netral,bagaimana kita berdua sale memiliki satu sama lain yang artinya seri
joy,anyon up for a talk just hit me up f
netral,kalo di grup line yg suka nginvit akun kyk hacker tp mereka gunanya buat ngekick semua anggota itu namanya apa ya
sad,gw juga baru tau kalo rosul buta huruf
joy,http ngakak anjer wkwk
netral,ww http
sad,kangen aldri bgt sumpah
joy,chat
netral,uang uang uang uang uang uang uang uang
anger,lahi kesel sama pacar ngetik anjg teru diapu lagi wkwk dasar aku
sad,gua gadibolehin beli baju lebaran lewat onlin gitu guy huhu
sad,cara nyudahin fran gimana ya gue udah move dan male aja pa tau dia udah menjerumu dari awal emang kurang serk enaknya gimana ya
joy,if u need someon to talk hit me up aku suka menyimak org yg ingin bercerita
netral,game yang gabikin bosen apa
anger,za lu kemana sih tuhkan gue nyariin lu lagi kesel ama diri sendiri dah
anger,lagi kesel sama pacar ngetik anjg teru diapu lagi wkwk dasar aku
netral,anyon want to fc
netral,fr itu friction ratio fc itu mutu beton wah wartel ini mau mbangun gedung kayaknya
sad,lebih nafsu ngerjain freelanc an daripada kerjaan kantor dasar aku
joy,bye littl bro c ya out there
anger,giliran minta fc aja cepet anjir
sad,sudah tahun dan masih sendiri
netral,vc anyon just vc without
sad,kecwea si dikit tapi yaudah lah heheh m
sad,semangatin dong belum jalan skripasian nih
sad,tuhan tolong dengarkanku beri aku dia tapi jika belum jodoh aku bisa apa
sad,shadow settl in a place that you left
sad,gabut nih ngobrol yuk f
anger,p p p p p p p p p p p p p p p p p p p p apa sih bgsd gue hantam lu
sad,aja pengen nangi yang kenceng sekenceng nya
fear,hati hati banyak cowo di tell
anger,pernah ga sih kalian belanja tp mba pelayannya itu nyebelin banget ntah karna jutek ketu atau karna dikacangin kalian jg sakithati nya samp rumah ga sih
sad,gada jasa hack mantan pacar ya wkkkkk
sad,tak mengerti mengapa engkau membisu kau tak lagi sama engkau bukan engkau
anger,demi kalian samp cv magang gue ga kesentuh sama sekali nih anggota malah doang dibebanin semua ke gue anjingg
sad,gw kalo lg overthink parah pernah cuma karna mau usbn stress mikirin samp mikir buat udahin semuanya apa gua perlu ke psikiat gw cape gini
sad,buat yang lagi chat sama gue maaf banget ya klo gue chatnya gare pake banget yah gue emang payah klo chat sama cwok tuh
sad,oi sedekahin headset dong buat gue
sad,pana gabisa bobo nih
joy,share ur own playlist on spotifi thx
joy,sudah rutin bukber setiap tahun terima kasih temen temen anon saya
netral,rate muka ada yang mau m
anger,lagi badmood malah anon anon pada ilang ga bale chat elaah tambah
sad,br kali ini lu nge reject tlf dr gua
confused,salah ga sih lebih suka yg lebih tua drpd kita
sad,kadangkala gue ada rasa cemburu sm seseorang walaupun kaya yah elah kok dia perhatian bgt sih sm tu orang
sad,secap ini nungguin kabar kamu seharian oke gapapa ma aku ikhla
joy,setiap pagi aku tahu kamu bangun dan menghidupi mengerti bahwa hidup bukan hanya tentang membuat citra
sad,dari dulu pengen punya cowo yg satu frekuensi bisa suka hal yg sama misalnya samasama suka main ke alam eh skrng dia lebih suka mall pdhn mata pengen yg seger
joy,join grup tell di line dong
sad,hey kamu aku kangen semangat kerjanya besok bahagi selalu kamu
netral,ada yg mau dibangunin sahur nanti
netral,ribut got mau episod terakhir lah gua ga pernah nonton sekalipun wkwkw
joy,ada f yang mau bukber sama gue wkwk
joy,sini fr an so far sih bisa manjain kamu
netral,enaknya
sad,kl diabaikan saya haru apaa
sad,someon suggest thi app to me so far it not realli interest
sad,stereotyp sini udh kebangun kalo move line atau wa pasti ini orang modu padah mah niatnya buat nambah teman ga ada niat lain
sad,basa basi ngobrol antara ciwi itu apa si gua bingung
netral,fc yuk cew rasa stroberi
joy,terima kasih giveaway kuotanya ya author semoga rezekinya senantiasa berkah dan lancar
netral,ketika hari telah larut malam dan kita belum juga bisa tidur kadang kita merasa bisa menghitung detak jantung kita sendiri
joy,sisain cowo kyk bimopd wkwkwk
netral,wan na chat hmmm gue f
sad,dikenalin cowok sama temen dia ngechat typingnya kayak gini ko emot qm sedih knppa emot ginian katanya sedih dong auto male bale lagi
joy,telponan yuk di line gue cewek yaa
joy,sangew begini ihhh chat yuu
netral,warbi is the sassiest line sticker charact ever
confused,aneh gaksi pertama ketemu anon tp malah minta anterin ke psikolog akwkskwkwkwk
sad,pertama kamu memutuskan untuk pergi kedua kamu menyesali keputusanmu ketiga kamu baru sadar bahwa hal yang telah pergi tidak akan kembali
netral,hallo yuk
sad,ig yuk tapi aku
sad,pertama kamu memutuskan untuk pergi kedua kamu menyesali keputusanmu ketiga kamu baru sadar bahwa hal yang telah pergi tidak akan kembali lagi
joy,http humorq ambl denger suara ketawanya wkwkw
sad,perintah untuk orang islam pertama adalah iqra bacalah orang indonesia mayorita islam orang indonesia minim membaca miri euy
sad,mau tinggal di solo ajaa org solo adopsi gueee
sad,pengen ngocok
sad,suka ngebayangin digitarin cowo lagu fourtwnti teru kita nyanyi brg gitu tapi buat deket sama cowo aja susah kaku banget akutu
sad,tidak ada yang salah dalam berharap yang akan menjadi masalah itu adalah ketika kamu menggantungkan harapanmu terlalu tinggi pada seseorang yang sebenarnya
sad,pertama kamu memutuskan untuk pergi kedua kamu menyesali keputusanmu ketiga kamu baru sadar bahwa dia yang telah pergi tidak akan kembali lagi
joy,enak juga ngobrol sama siapa aja tanpa liat fisik seneng euyyy
sad,secretli judg ppl by how their conduct themselv through word sorri
love,selamat tidur sayang
sad,bukber beda kota capek dijalaann cuuu
disgusted,abi liat di tw gangster di lind motor sama warga ga nafsu makan sumpah
sad,gitu kan masuk grup teh udah tetep aja dipinatin kimak
netral,mau nanya ke perempuan m
confused,ini yang susah dimengerti biasanya cewek yaa ini kebalikannya hadeh bikin posenkkk jadi cowo kok kyk tt rumit
netral,hai rekomen filter foto yg agak cokelat gitu dong themenya atau biru muda gitu heheh aplikasinya apa yaa namanya
love,mencari memang akan selalu lebih mudah daripada mempertahankan mencari akan membuatmu kehilangan arah untuk
anger,biasanya kalo cew yg hamil keblablasan waktu masih remaja pasti udah kayak tapi kok kamu ngga pasti jarang nguru anak yah pli deh kok sotoy banget
anger,anjg goblk bangst setan
joy,enakan mana berak di wc jongkok apa wc duduk kalau aku sih wc jongkok lebih keren dan sporti
joy,ga ada yg mau fc nih m
netral,ada yg mau nemenin chat keat f here
netral,mau cerita lagi di googl drive boleh gak
confused,mau chattan tp dunno what to talk about wkwk chat nya yg aja jgn yg
netral,rubatosi
sad,dia yg ngajak jalan gue yg nungguin dia yg ngebatalin tanpa bale chat gue dan cuma diread nyesek ga sih
netral,five for fight superman it not easi
sad,tidak ada yang namanya pelajaran hidup tanpa rasa sakit sekian malien
netral,f gua mau tanya hal dewasa yg bersedia chat ya m here
netral,captain marvel black widow
netral,adakah disini yg bisa dan paham sama sandi juliu caesar
sad,pengen punya abang kaya bretman rock
joy,kamu gamau nyanyiin aku gitu
netral,googl drive bisa ya
sad,ngerasa ga sih perbedaan ga sengaja chatan sama diusahain chatan gue ngerasa gare karena pasti pertanyaan basa basi awal perkenalan yang muncul hehe
netral,tati jame charl what a surpris
sad,pc dong gabuttt asliiii
joy,f ngobrol yuk anyth m
joy,pengen magang di ojk doain yaa
joy,baru kali ini dapet giveaway weyi anjaaay
confused,cara login line pake gmail gimana sih kok ini ada pilihannya buat baru doang
sad,the problem is within you it alway is you trust your expect too much you becom depend to it then you got upset but blame other so ye you the problem
fear,mudik kali ini gada yang ngingetin buat di jalan
netral,fc aambil main pick number
sad,tolong tolong tolong ini gimana caranya supaya gue ga mellow udah berusaha biar ga mellow ga sedih ga kepikiran tetep aja otak masih mikirin bangst gue kesiksa
joy,chattt yuk move line hehe
sad,ada yg suka sama gw gak sih banyak temen cowok kok kagak ada yg hahaha
sad,waktu sd smp banyak cerita menarik kayanya tapi kok sekarang udah gede makin flat aja ya
netral,ini cara cari x xnya gmn
netral,are you my boy friend or my boyfriend
joy,panutanqu di twitter tu membuahi
netral,recomend facialwash buat wajah berminyak dan berjerawat dong eh lebih ke ngatasin beka aja si
sad,gae kasih tau cara pengen agak ngejauh dari sahabat deket banget banget dong lagi ga sreg a sm sifat dia yg skrg di bantu ya gae
sad,mau dimanja tapi gatau sama siapa
joy,mabar pubg yuk aku f
sad,belum makan apa nunggu sahur aja ya sekalian
fear,gua umur masih tidur ama bonyok bodo amat anjir dicengin serem tidur sendirian di ata pulak
sad,ada yang gabut ngga sini chat sama saya here
netral,oh just to confirm that i am not teteh cg she might be wonder i didnt realli know her but you can call me cigadung if you want to
joy,kamu lucu deh jadi penggen di sayang m
sad,kadang rindu sekejam itu menikam segala daya lalu tega membiarkan raga ini terkapar menahan luka
anger,kamu kok blm punya pacar galaku laku ya lah kan gue kagak dijual mau laku darimana
sad,capek lah gue mikirin soal kapan punya pacar kenapa gak ada yang suka sama gue dll studi gue jadi keganggu gak ada yang namanya
netral,ada f yang udh ga virgin disini mau m
fear,caranya biar ngantuk gimanasii takut bgt jam segini blm tidurr
sad,pengen punya kuce tapi suka kabur kalo dideketin
sad,kadang rindu sekejam itu menghalau segala bahagia lalu tega membiarkan batin ini meringi memeluk nestapa
anger,i do know how peopl can fake whole relationship i ca even fake a hello to somebodi i do like haaaaaaaah
sad,rekomendasi game yang santai tapi seru teru dong
love,dear lelaki ada cara untuk kamu mengungkapkan perasaan cinta meminta pada tuhan lewat doa atau menghadap orang tuanya dengan segera hehe jadi pengen dapet cara
sad,f yang lagi punya masalah bingung bgt mau cerita ke siapa bisa ke sini
netral,dari kecil aku emang gak bisa tidur kalo malam siang pasti awet banget tidurnya
confused,mau fc tp mau tidur gmn ya
joy,can you give me a job as your wife
joy,kangen masa masa nnton anim genr drama yg background nya aesthet aesthet gtu unyu unyu
sad,adakah belieb dari tahun duh kalian sudah tidak muda lagi hahaha
netral,gua tp punya ke cew sma klo ada pc gua ya
joy,sumpah yak bisa pup setelah ngga pup itu bahagia
netral,jika kelak muncul ra manusia baru yang bisa beradaptasi di antariksa maka federasi bumi haru melibatkan mereka dalam administrasi dan pemerintahan
netral,chat yuk
joy,semakin sulit buat d dapetin semakin tertantang buat dapetinnya katanya cewek model gini setia doain gw semoga bisa dapetin dia male bdg
sad,i want you and noth come close i want you from somewher within it feel like there ocean between you and me
anger,hellooo orang bukan perkara doang omagash pikiran anda pendek sekali
sad,umur tapi baru ngerasain ngegalauin cowok yaampun kemana aja gue selama ini baru ngerasain kasmaran gue
sad,tdr gue hancur bgt hari sabtu tdr jam sore minggu td tdr jam bangun jam tr tdr jam samp jam tadi skrng kepala gue puse bgt
fear,daerah mana yg ngerasain td ada gempa di kaltim gw dpt info dr akun hallosamarinda
joy,gatau kenapa kalo lagi fcan sama cowok teru gue lagi bacot dan manggil dia dia jawabnya hmm iya saya kenapa ahaha kayak damn so sexi auto
anger,he is the best man i ever had our broke up lead me to traumat i hate all those love song those sad love song if u can see my heart it empti i felt noth but hurt
sad,udah ini mah auto berhenti pdkt sama gebetan gebetan gue ini ternyata buat mantannya hamil udah bulan sedih sih tapi beruntung gue gak jadian sama cowok kayak gitu
joy,jadi gue mau cerita hal gak pent dan cring jadi gue mau spread sama kelen wkwk
confused,heran deh kenapa sih sesama cowok pegangan tangan cipika cipiki dibilang homo tapi kalo sesama cewek nggak padah kan cuma temenan biasa gitu
joy,padah ada bbrp cowok yg udah deketin gue tp gue gasuka kenapa gue lebih tertarik sm disini si wkwk
anger,baper anjrit kurang ajar
netral,lo pacaran udah ngapain aja
netral,chat move line clean tpp
joy,enak bgt suaranya adem
joy,cowo tu kalo ngomong kangen tu berarti dia lagi apa lagi udah putu usah jadi cew jangan terlalu berharap lebih
joy,kocak ya ngeledek temen yg otak wkwkwk
joy,mau dong fcan sama cewk yg bawel
joy,am i the onli one yang pa download app ini dan bikin statu surpris sedikit hiper no hard feel btw
netral,indi putu ya ama pacar barunya
confused,kenapa yang pengen curhat lewat gdrive setau gue gdrive belom bisa deh
sad,kamu membuka hatiku perlahan kau pula yang menyakitiku
netral,kakak kakak ada yg kuliah di umj ga enak ga kuliah disana suka duka nya apa kalo boleh tau
joy,yak saya cengar cengir sendiri liat chatan pa awal kenal di tell sama calon suami masih kaya mimpi rasanyaaa
anger,anda yakin kejar anda ragu silahkan kembali m
netral,eh game episod ada cheatnya ngga sihg
netral,bobbi masih main ini ga ya
sad,pdhl baru mau ua day tp jiwa liburan gue udh gb ditahan male belajar yaallah butuh motivasi
joy,ayo chatan insyaallah pa sm kriteria mama kamu gua lupa umur sendiri maap
netral,gue penasaran dah sm org yg suka bangunin saur di rumah gue
netral,fr yuk no no
joy,salah emang kalau sekedar suka sama partner nggak cinta dan pengen memiliki cuma suka karena perlakuannya dan tingkahnya
sad,jerawat gue kasih acn gel jerawat kok rasa gimana gitu
